# Definiciones en español escritas a mano, no traducidas por máquina.
#
# Mandan sobre la caché de data/build/, que está fuera del repositorio
# y se regenera sola. Todo lo que se escriba aquí sobrevive a un clon
# nuevo y no depende del traductor público, que bloquea por tandas.
#
# Formato: inglés<TAB>español. Una línea por definición.
(gram) particle(s), postposition	(gram.) partícula, posposición
(number of) months	(número de) meses
(small) table, tray, meal	mesita, bandeja, comida
(someone else's) wife (hon.)	esposa (de otro) (hon.)
I'm sorry to hear that…	cuánto lo siento…
Ms.	señorita, señora
Please (lit., I request)	por favor (lit., se lo pido)
Take care of yourself, Take care!, Get well soon	cuídate, que te mejores
Take care'	cuídate
Thank you for your hard work	gracias por su trabajo
Zen (Buddhism)	zen (budismo)
a change, transfer	cambio, traslado
a region, the whole place	región, toda la zona
a work, a harvest	obra, cosecha
accompanying, attendant, companion, retinue	acompañante, séquito
advance	avance
alternation, change, relief, relay, shift, substitution (sports, etc.), taking turns	alternancia, relevo, turno, sustitución (deportes)
amount sold, sales, proceeds, takings, turnover	ventas, recaudación, facturación
as ever, as usual	como siempre
as was expected, just as one thought, sure enough	como era de esperar, efectivamente
aspect, phase, countenance	aspecto, fase, semblante
back, behind, rear	parte de atrás, detrás
before, after you	primero usted, adelante
being attached (to), being affiliated (to), belonging (to), going with	estar adscrito a, pertenecer a, ir con
besides	además
bloc, sphere, area	bloque, esfera, zona
blood vessel	vaso sanguíneo
brain, memory	cerebro, memoria
bright (in reference to personality or weather); cheerful	despejado (tiempo), alegre (carácter)
bureaucrat, bureaucracy	burócrata, burocracia
busy, hurried	ajetreado, apresurado
capitulation, surrender, submission	capitulación, rendición
chance, start, cue, excuse, motive, impetus, occassion	ocasión, motivo, pie, pretexto
change schools	cambiar de colegio
chattering, talk	charla, cháchara
cheer, shout of joy	vítor, grito de alegría
chic, style, purity	elegancia, estilo, pureza
clothing	ropa
cloudiness, cloudy weather	nubosidad, tiempo nublado
co-operation, conciliation, harmony	cooperación, conciliación, armonía
collecting, gathering	recolección, recopilación
command, direction	orden, mando
compensation, reparation	compensación, reparación
conference, discussion, negotiation	conferencia, negociación
counter for article	contador de artículos
counter for cupfuls	contador de tazas o vasos
counter for flat things	contador de cosas planas
counter for loss, defeat	contador de derrotas
creation	creación
customary practice, habit, traditional event	costumbre, hábito, celebración tradicional
cute, adorable	mono, adorable
date (of a planned event, act, etc.), day	fecha, día
deadline, closing, cut-off, end	fecha límite, cierre
death, decease	muerte, fallecimiento
declaration, statement, proclamation	declaración, proclamación
decrease, reduction, decline	descenso, reducción
delinquency, misconduct	delincuencia, mala conducta
dew	rocío
difference (of opinion)	diferencia (de opinión)
difficulty, hardships, defect	dificultad, penalidades, defecto
discussion, talk, conference	discusión, charla, conferencia
disposition, spirit, obstinacy, appetite	carácter, temple, tesón, apetito
disturbance, flutter shock	sobresalto, conmoción
doctor's office (surgery), clinic	consulta, clínica
doing (with resolve), carrying out (e.g., a plan)	ejecución, puesta en práctica
draw (in competition), tie game	empate
drop	gota
dwelling, living	vivienda, residencia
edition	edición
elaborate, delicate, exquisite	primoroso, delicado, exquisito
end	fin
enjoyment, being given	disfrute, obsequio recibido
evil, vice	mal, vicio
exact calculation, adjustment	cálculo exacto, ajuste
example; even though	ejemplo; aunque
fat, grease	grasa
feeling, view	sensación, parecer
feelings, emotion, passion	sentimientos, emoción, pasión
fence, paling	valla, cerca
flushing	sonrojo
font, lettering	tipografía, letra
frame, slide	marco, diapositiva
frank, candid, straightforward, openhearted, direct, outspoken	franco, sincero, directo
full name	nombre completo
full, to the utmost	lleno, al máximo
germ, bacterium	germen, bacteria
good fortune	buena suerte
good, nice	bueno, agradable
guarantee, security, warranty	garantía, aval
handy, convenient suitable, reasoanble, moderate	práctico, apropiado, moderado
have a nice day, see you	que te vaya bien, hasta luego
hill	colina
hit, success, reaching the mark	acierto, éxito, dar en el blanco
